Event #,Start (Year-DOY),Peak Time,Peak Year,Peak Month,Peak Day,Peak Hour,Stop (Year-DOY),Forbush Decrease,LEMS H+,LEMS He++,LEMS O+,Region,Notes
1,2004-210,2004-239T01:00,2004,8,26,1,2004-252,Yes,A1-A7; P2-P3,-,-,SW,"[""1) Jackman et al. (2005)"", ""2) Shocks: end of day 207, day 232, day 247"", ""3) Multiple HCS crossings""]"
2,2004-260,2004-271T01:00,2004,9,27,1,2004-288,No,A1-A7; P2-P4,-,-,SW,"[""1) Extended compression during days 260-270""]"
3,2004-322,2004-338T13:00,2004,12,3,13,2004-350,Yes,A1-A7; P2-P6,A8 H1,-,"SW, MSH, MSP","[""1) CIR compression day 322"", ""2) CIR compression coincident with SEP peak"", ""3) HCS crossing day 338""]"
4,2005-021,2005-034T11:00,2005,,,,2005-046,Yes,A2-A7; P2-P8,A8 H1-H3 B2-B3,Z1,"SW, MSH","[""1) Roussos et al. (2008)"", ""2) X7.1 flare (Foullon et al., 2007)""]"
5,2005-055,2005-060T18:00,2005,,,,2005-067,No,A2-A7; P2-P3,-,-,"SW, MSH","[""1) Roussos et al. (2008)""]"
6,2005-083,2005-085T01:00,2005,,,,2005-087,Yes,A4-A7; P2-P3,-,-,"SW, MSH","[""1) Roussos et al. (2008)"", ""2) Rarefied SW (days 80-84)"", ""3) Compressed SW days 84-86""]"
7,2005-142,2005-151T13:00,2005,,,,2005-159,Yes,A4-A7; P2-P3,-,-,"SW, MSH, MSP","[""1) Roussos et al. (2008)"", ""2) No CAPS after day 145""]"
8,2005-203,2005-208T06:00,2005,,,,2005-212,No,A4-A7; P2-P6,-,-,"SW, MSH, MSP","[""1) Roussos et al. (2008)"", ""2) Rarefied SW (days 206-209)""]"
9,2005-213,2005-224T16:00,2005,,,,2005-240,Yes,A3-A7; P2-P8,A8 H1-H2 B2-B3,-,"SW, MSH, MSP","[""1) Roussos et al. (2008)"", ""2) 2 periapses""]"
10,2005-243,2005-258T23:00,2005,,,,2005-292,Yes,A0-A7; P2-P9,A8 H1-H4 B2-B3,Z1-Z2,"SW, MSH, MSP","[""1) Roussos et al. (2008)"", ""2) 3 periapses""]"
11,2005-310,2005-313T13:00,2005,,,,2005-317,No,A3-A7; P2,-,-,"MSH, SW","[""1) Short solar wind excursions""]"
12,2006-001,2006-002T00:00,2006,,,,2006-003,Maybe,A3-A6,-,-,"MSH, SW","[""1) CHEMS based detections""]"
13,2006-346,2006-355T08:00,2006,,,,2007-017,Yes,A4-A7; P2-P6,H1-H2,-,"SW, MSH, MSP","[""1) 3 periapses"", ""2) Elevated lobe field (e.g., days 7-11)""]"
14,2007-292,2007-297T23:00,2007,,,,2007-298,No,P2,-,-,"MSH, SW","[""1) Noisy magnetic field in and out of the MSP""]"
15,2007-306,2007-316T04:00,2007,,,,2007-332,Maybe,A0-A7; P2,-,-,"SW, MSH, MSP","[""1) HCS crossing (days 307-310)""]"
16,2007-335,2007-353T18:00,2007,,,,2007-360,No,P2-P3,-,-,"SW, MSH","[""1) 2 periapses"", ""2) Data gap (day 346-348, 355-358)""]"
17,2008-018,2008-027T04:00,2008,,,,2008-028,Maybe,A4-A7; P2,-,-,"SW, MSH, MSP","[""1) MAG data gap up to day 24""]"
